20200106	法规	http://www.cac.gov.cn/2019-12/20/c_1578375159509309.htm	网络信息内容生态治理规定	cac.gov.cn	www.cac.gov.cn	/2019-12/20/c_1578375159509309.htm
20200106	新闻	https://mp.weixin.qq.com/s/D23I3qEpMs8eOFKy8w2RJg	DARPA发布战略框架文件《保障国家安全的突破性技术和新能力》	qq.com	mp.weixin.qq.com	/s/D23I3qEpMs8eOFKy8w2RJg
20200106	Web安全	https://3gstudent.github.io/%E6%B8%97%E9%80%8F%E5%9F%BA%E7%A1%80-%E6%B4%BB%E5%8A%A8%E7%9B%AE%E5%BD%95%E4%BF%A1%E6%81%AF%E7%9A%84%E8%8E%B7%E5%8F%96/	渗透基础——活动目录信息的获取	github.io	3gstudent.github.io	/%E6%B8%97%E9%80%8F%E5%9F%BA%E7%A1%80-%E6%B4%BB%E5%8A%A8%E7%9B%AE%E5%BD%95%E4%BF%A1%E6%81%AF%E7%9A%84%E8%8E%B7%E5%8F%96/
20200106	Web安全	https://mp.weixin.qq.com/s/VwhALBXqIPOh87Ll3ISVHQ	安全开源项目之分布式被动安全扫描	qq.com	mp.weixin.qq.com	/s/VwhALBXqIPOh87Ll3ISVHQ
20200106	Web安全	https://mp.weixin.qq.com/s/uc-fHmIseYuxrRSkCxYeaQ	日志分析系列(二):平台实现篇	qq.com	mp.weixin.qq.com	/s/uc-fHmIseYuxrRSkCxYeaQ
20200106	其它	https://mp.weixin.qq.com/s/Cjd7CCR0kZESP2GHX1oOvQ	商业网络培训靶场的发展态势综述	qq.com	mp.weixin.qq.com	/s/Cjd7CCR0kZESP2GHX1oOvQ
20200106	杂志	https://www.sec-wiki.com/weekly/305	SecWiki周刊（第305期)	sec-wiki.com	www.sec-wiki.com	/weekly/305
20200106	漏洞分析	https://www.anquanke.com/post/id/196364	ThinkPHP v5.0.x 反序列化利用链挖掘	anquanke.com	www.anquanke.com	/post/id/196364
20200106	数据挖掘	https://mp.weixin.qq.com/s/hvLN83rPiNLw6cmrYDRPpA	大数据安全分析平台搭建&相关经验分享	qq.com	mp.weixin.qq.com	/s/hvLN83rPiNLw6cmrYDRPpA
20200106	恶意分析	https://www.freebuf.com/articles/others-articles/224051.html	机器学习与恶意代码检测	freebuf.com	www.freebuf.com	/articles/others-articles/224051.html
20200106	漏洞分析	https://mp.weixin.qq.com/s/d3owzqQFhHNVoPFIyxWZsQ	CVE-2017-11882理论以及实战样本分析	qq.com	mp.weixin.qq.com	/s/d3owzqQFhHNVoPFIyxWZsQ
20200106	编程技术	https://mp.weixin.qq.com/s/brUQ8m3oAxYaJeSNa4qAFQ	闯荡Linux帝国：nginx的创业故事	qq.com	mp.weixin.qq.com	/s/brUQ8m3oAxYaJeSNa4qAFQ
20200106	运维安全	https://github.com/ztosec/hunter	Hunter 中通DevSecOps闭环方案	github.com	github.com	/ztosec/hunter
20200106	Web安全	https://xz.aliyun.com/t/7051	深入研究Pass-the-Hash攻击与防御	aliyun.com	xz.aliyun.com	/t/7051
20200106	Web安全	https://payloads.cn/2020/0109/ssh-encrypted-tunnel-port-forwarding.html	SSH加密隧道之端口转发	payloads.cn	payloads.cn	/2020/0109/ssh-encrypted-tunnel-port-forwarding.html
20200106	数据挖掘	https://zhuanlan.zhihu.com/p/69360094	知识图谱构建技术综述与实践	zhihu.com	zhuanlan.zhihu.com	/p/69360094
