20200720	Web安全	https://blog.blankshell.com/2020/07/22/%e8%ae%b0%e4%b8%80%e6%ac%a1%e4%bb%8e%e9%9b%b6%e5%88%b0getshell%e7%9a%84%e6%b8%97%e9%80%8f%e5%8e%86%e7%a8%8b/	记一次从零到getshell的渗透历程	blankshell.com	blog.blankshell.com	/2020/07/22/%e8%ae%b0%e4%b8%80%e6%ac%a1%e4%bb%8e%e9%9b%b6%e5%88%b0getshell%e7%9a%84%e6%b8%97%e9%80%8f%e5%8e%86%e7%a8%8b/
20200720	恶意分析	https://mp.weixin.qq.com/s/kzNRmpCgOOODI6J5A8L2Jg	再谈几种Nginx后门——发现与修复	qq.com	mp.weixin.qq.com	/s/kzNRmpCgOOODI6J5A8L2Jg
20200720	Web安全	https://www.freebuf.com/articles/network/243831.html	某企业授权渗透报告	freebuf.com	www.freebuf.com	/articles/network/243831.html
20200720	Web安全	https://mp.weixin.qq.com/s/HVOpUfJbncp81GWFLcgIFw	细说渗透江湖之披荆斩棘	qq.com	mp.weixin.qq.com	/s/HVOpUfJbncp81GWFLcgIFw
20200720	书籍	https://www.yuque.com/fe9/basic	前端九部 - 入门者手册2019	yuque.com	www.yuque.com	/fe9/basic
20200720	无线安全	https://mp.weixin.qq.com/s/2ySVlrHHnMpunY9VX0l3Zg	领导人高级别会谈如何反窃密	qq.com	mp.weixin.qq.com	/s/2ySVlrHHnMpunY9VX0l3Zg
20200720	观点	https://mp.weixin.qq.com/s/7HAorX_VurhxXI9OT6sILA	网络靶场能力指南	qq.com	mp.weixin.qq.com	/s/7HAorX_VurhxXI9OT6sILA
20200720	Web安全	https://www.yuque.com/docs/share/214295b1-5b6c-42ad-9e3d-7d3823ea3ee6	权限维持	yuque.com	www.yuque.com	/docs/share/214295b1-5b6c-42ad-9e3d-7d3823ea3ee6
20200720	取证分析	https://mp.weixin.qq.com/s/W0HuTvPI7CzM8queWNhXIQ	朝鲜半岛APT组织Lazarus在MacOS平台上的攻击活动分析	qq.com	mp.weixin.qq.com	/s/W0HuTvPI7CzM8queWNhXIQ
20200720	观点	https://mp.weixin.qq.com/s/OQgfTosjAWVSEGlCuBKF5A	论CISO的个人修养	qq.com	mp.weixin.qq.com	/s/OQgfTosjAWVSEGlCuBKF5A
20200720	漏洞分析	https://mp.weixin.qq.com/s/GHiTqWlxisyVWxVHcACpvg	CVE-2020-0624 win32k漏洞分析笔记	qq.com	mp.weixin.qq.com	/s/GHiTqWlxisyVWxVHcACpvg
20200720	杂志	https://www.sec-wiki.com/weekly/333	SecWiki周刊（第333期)	sec-wiki.com	www.sec-wiki.com	/weekly/333
20200720	观点	https://mp.weixin.qq.com/s/X0BoaaFG1a-p5xymokC1YQ	Gartner对SOAR的定义不断变化	qq.com	mp.weixin.qq.com	/s/X0BoaaFG1a-p5xymokC1YQ
20200720	恶意分析	https://mp.weixin.qq.com/s/RFxS0xigAF-bMh59KR44cA	从APT29看网络威胁归因（上）	qq.com	mp.weixin.qq.com	/s/RFxS0xigAF-bMh59KR44cA
20200720	恶意分析	https://mp.weixin.qq.com/s/Dp5214aBdQjb-uuxP7T4zg	RangeAMP：利用CDN+Range请求进行的HTTP放大攻击	qq.com	mp.weixin.qq.com	/s/Dp5214aBdQjb-uuxP7T4zg
20200720	取证分析	https://www.cdxy.me/?p=828	告警聚合-无向图的动态连通性与union-find算法	cdxy.me	www.cdxy.me	/
20200720	工具	https://mp.weixin.qq.com/s/j28z7yrybH0xBi1Upxn4ZA	编写可以上传json文件的“Shodan”Goby插件	qq.com	mp.weixin.qq.com	/s/j28z7yrybH0xBi1Upxn4ZA
20200720	恶意分析	https://www.inforsec.org/wp/wp-content/uploads/2020/07/cg-2.pdf	加密网络流量测量和分析	inforsec.org	www.inforsec.org	/wp/wp-content/uploads/2020/07/cg-2.pdf
20200720	工具	https://mp.weixin.qq.com/s/YExvYQ8RtBvrNC0VwwnV9A	编写查看摄像头快照的“Hikvision”Goby插件	qq.com	mp.weixin.qq.com	/s/YExvYQ8RtBvrNC0VwwnV9A
20200720	Web安全	https://xz.aliyun.com/t/8018	Redis数据库在渗透中的利用	aliyun.com	xz.aliyun.com	/t/8018
20200720	数据挖掘	https://mp.weixin.qq.com/s/AennHGMpuoZTRo_4ud5m3w	时序特征挖掘的奇技淫巧	qq.com	mp.weixin.qq.com	/s/AennHGMpuoZTRo_4ud5m3w
20200720	恶意分析	https://securelist.com/mata-multi-platform-targeted-malware-framework/97746/	MATA: Multi-platform targeted malware framework	securelist.com	securelist.com	/mata-multi-platform-targeted-malware-framework/97746/
20200720	数据挖掘	https://github.com/eugeneyan/applied-ml#anomaly-detection	面向产品的机器学习/数据科学相关资源	github.com	github.com	/eugeneyan/applied-ml
20200720	Web安全	https://xz.aliyun.com/t/8020	Oracle 注入 All in ONE	aliyun.com	xz.aliyun.com	/t/8020
