20211227	法规	http://www.scmgj.gov.cn/scsmmglj/c103235/2021/12/24/838569f2bbbe4d1fb1cb90e5c8d9dbdf.shtml	国家密码管理局规章制定程序规定（最新版）	scmgj.gov.cn	www.scmgj.gov.cn	/scsmmglj/c103235/2021/12/24/838569f2bbbe4d1fb1cb90e5c8d9dbdf.shtml
20211227	法规	http://www.cac.gov.cn/2021-12/27/c_1642205314518676.htm	“十四五”国家信息化规划	cac.gov.cn	www.cac.gov.cn	/2021-12/27/c_1642205314518676.htm
20211227	运维安全	https://mp.weixin.qq.com/s/c_DYMvsOqUEuWcUzNP96Jw	2021年安全架构总结以及2022安全方向展望	qq.com	mp.weixin.qq.com	/s/c_DYMvsOqUEuWcUzNP96Jw
20211227	文档	http://doc.opensourcecloud.cn/2021/1227.pdf	业务安全发展洞察报告 2021	opensourcecloud.cn	doc.opensourcecloud.cn	/2021/1227.pdf
20211227	编程技术	https://www.anquanke.com/post/id/263645	写给研发同学的富文本安全过滤方案	anquanke.com	www.anquanke.com	/post/id/263645
20211227	Web安全	https://xz.aliyun.com/t/10677	快速探测目标防火墙出网端口的工具化实现	aliyun.com	xz.aliyun.com	/t/10677
20211227	Web安全	https://github.com/flowerwind/JspFinder	一款通过污点追踪发现Jsp webshell的工具	github.com	github.com	/flowerwind/JspFinder
20211227	设备安全	https://www.anquanke.com/post/id/263859	ZN600电信光猫分析 —— 初识	anquanke.com	www.anquanke.com	/post/id/263859
20211227	漏洞分析	https://mp.weixin.qq.com/s/fW8joKKcKaN-UWv4zuhwTQ	Typora 授权解密与剖析	qq.com	mp.weixin.qq.com	/s/fW8joKKcKaN-UWv4zuhwTQ
20211227	Web安全	https://mp.weixin.qq.com/s/ckRnClp6a7LDQgCaSPR0qQ	聊聊配置文件 RCE 这件事	qq.com	mp.weixin.qq.com	/s/ckRnClp6a7LDQgCaSPR0qQ
20211227	恶意分析	https://mp.weixin.qq.com/s/FpCm2F7jcBYvCRUWC158Tg	连载：演化的高级威胁治理（一）	qq.com	mp.weixin.qq.com	/s/FpCm2F7jcBYvCRUWC158Tg
20211227	恶意分析	http://doc.opensourcecloud.cn/2021/1228.pdf	软件供应链安全发展洞察报告（2021年）	opensourcecloud.cn	doc.opensourcecloud.cn	/2021/1228.pdf
20211227	Web安全	https://mp.weixin.qq.com/s/gsdY8CWP2ZoRDruR6UMV2Q	扫描器性能分析案例	qq.com	mp.weixin.qq.com	/s/gsdY8CWP2ZoRDruR6UMV2Q
20211227	设备安全	https://mp.weixin.qq.com/s/Qu0li5pss3mV870drxZFXQ	万字长文：物联网十年简史	qq.com	mp.weixin.qq.com	/s/Qu0li5pss3mV870drxZFXQ
20211227	设备安全	https://mp.weixin.qq.com/s/_RI8OEFAEmlBG5RIhZtCtQ	消费级物联网安全基线	qq.com	mp.weixin.qq.com	/s/_RI8OEFAEmlBG5RIhZtCtQ
20211227	Web安全	https://github.com/microsoft/playwright	playwright: Playwright is a framework for Web Testing and Automation-爬虫	github.com	github.com	/microsoft/playwright
20211227	恶意分析	https://mp.weixin.qq.com/s/xfcszMh3uWVOcH_PS9Mnww	连载：演化的高级威胁治理（二）	qq.com	mp.weixin.qq.com	/s/xfcszMh3uWVOcH_PS9Mnww
